SUA_CODE_2016,SUA_NAME_2016,AREA_ALBERS_SQKM_2016,SUA_CODE_2021,SUA_NAME_2021,AREA_ALBERS_SQKM_2021,Reason for change
1000,Not in any Significant Urban Area (NSW),787692.8137,1000,Not in any Significant Urban Area (NSW),786334.6808,
1001,Albury - Wodonga,628.2471,1001,Albury - Wodonga,628.2525,
1002,Armidale,274.5995,1002,Armidale,274.5996,
1003,Ballina,73.9758,1003,Ballina,480.5548,
1004,Batemans Bay,94.3022,1004,Batemans Bay,94.3021,
1005,Bathurst,213.5389,1005,Bathurst,213.5388,
1006,Bowral - Mittagong,421.819,1006,Bowral - Mittagong,421.8192,
1007,Broken Hill,170.1153,1007,Broken Hill,170.1153,
,,,1008,Byron Bay,39.7771,New
1008,Camden Haven,524.9065,1009,Camden Haven,524.9062,
1009,Central Coast,566.355,1010,Central Coast,1334.2426,
1010,Coffs Harbour,505.523,1011,Coffs Harbour,505.5228,
1011,Dubbo,182.5607,1012,Dubbo,182.5608,
1012,Forster - Tuncurry,49.5428,1013,Forster - Tuncurry,49.5428,
1013,Goulburn,64.7865,1014,Goulburn,64.7865,
1014,Grafton,106.2537,1015,Grafton,106.2537,
1015,Griffith,56.333,1016,Griffith,56.3332,
1016,Kempsey,195.1562,1017,Kempsey,195.1561,
1017,Lismore,88.5367,1018,Lismore,88.5366,
1018,Lithgow,119.9844,1019,Lithgow,119.9844,
,,,1020,Medowie,365.182,New
1019,Morisset - Cooranbong,340.6801,1021,Morisset - Cooranbong,340.68,
1020,Mudgee,65.8948,1022,Mudgee,65.8949,
1021,Muswellbrook,262.3964,1023,Muswellbrook,262.3964,
1022,Nelson Bay,115.5262,1024,Nelson Bay,115.5262,
1023,Newcastle - Maitland,1179.1309,1025,Newcastle - Maitland,1179.1011,
1024,Nowra - Bomaderry,201.4116,1026,Nowra - Bomaderry,201.4117,
1025,Orange,144.7617,1027,Orange,144.7618,
1027,Port Macquarie,96.2549,1028,Port Macquarie,96.2548,
1028,Singleton,127.2317,1029,Singleton,127.2317,
1029,St Georges Basin - Sanctuary Point,107.9469,1030,St Georges Basin - Sanctuary Point,107.8711,
1030,Sydney,4196.2813,1031,Sydney,4196.8372,
1031,Tamworth,240.745,1032,Tamworth,240.7449,
1032,Taree,186.6494,1033,Taree,186.6495,
1033,Ulladulla,46.7766,1034,Ulladulla,46.7765,
1034,Wagga Wagga,192.0954,1035,Wagga Wagga,192.0954,
1035,Wollongong,572.3157,1036,Wollongong,572.6371,
2000,Not in any Significant Urban Area (Vic.),215596.6237,2000,Not in any Significant Urban Area (Vic.),214524.8145,
2001,Bacchus Marsh,196.2984,2001,Bacchus Marsh,196.2983,
2002,Bairnsdale,155.0115,2002,Bairnsdale,155.0115,
2003,Ballarat,343.6213,2003,Ballarat,343.6213,
2004,Bendigo,287.4438,2004,Bendigo,287.4437,
,,,2005,Castlemaine,83.9291,New
2005,Colac,54.7344,2006,Colac,54.7344,
2006,Echuca - Moama,350.9191,2007,Echuca - Moama,350.96,
2007,Geelong,1329.0137,2008,Geelong,1329.0133,
2008,Gisborne - Macedon,367.3974,2009,Gisborne,367.3975,Name Change
2009,Horsham,83.0691,2010,Horsham,83.0691,
2010,Melbourne,6189.1069,2011,Melbourne,7100.1467,
2011,Melton,265.8685,2011,Melbourne,7100.1467,Amalgamated
2012,Mildura - Wentworth,588.8628,2012,Mildura - Buronga,588.8581,Name Change
2013,Moe - Newborough,105.2835,2013,Moe - Newborough,447.9855,
2014,Portland,63.985,2014,Portland,63.985,
2015,Sale,45.6023,2015,Sale,45.6023,
2016,Shepparton - Mooroopna,248.9055,2016,Shepparton - Mooroopna,248.9055,
2017,Swan Hill,126.581,2017,Swan Hill,126.5903,
2018,Traralgon - Morwell,235.159,2018,Traralgon - Morwell,235.1589,
2019,Wangaratta,57.5835,2019,Wangaratta,57.5836,
2020,Warragul - Drouin,678.9851,2020,Warragul - Drouin,678.9851,
2021,Warrnambool,182.6157,2021,Warrnambool,182.6156,
3000,Not in any Significant Urban Area (Qld),1718420.512,3000,Not in any Significant Urban Area (Qld),1716660.6473,
,,,3001,Airlie Beach - Cannonvale,304.0917,New
3001,Brisbane,5326.737,3002,Brisbane,6462.4053,
3002,Bundaberg,305.1459,3003,Bundaberg,305.2318,
3003,Cairns,254.052,3004,Cairns,254.0618,
3004,Emerald,38.9821,3005,Emerald,38.982,
3005,Gladstone - Tannum Sands,246.0825,3006,Gladstone,246.0825,Name Change
