UCL_CODE_2016,UCL_NAME_2016,SOSR_CODE_2016,SOSR_NAME_2016,SOS_CODE_2016,SOS_NAME_2016,AREA_ALBERS_SQKM_2016,UCL_CODE_2021,UCL_NAME_2021,SOSR_CODE_2021,SOSR_NAME_2021,SOS_CODE_2021,SOS_NAME_2021,AREA_ALBERS_SQKM_2021,Reason for change
101001,Sydney,101,1 million or more,10,Major Urban,2179.1222,101001,Sydney,101,1 million or more,10,Major Urban,2194.1731,
102001,Canberra - Queanbeyan (Queanbeyan Part),102,"250,000 to 999,999",10,Major Urban,28.7924,102001,Canberra - Queanbeyan (Queanbeyan Part),102,"250,000 to 999,999",10,Major Urban,28.7867,
102002,Central Coast,102,"250,000 to 999,999",10,Major Urban,334.1964,102002,Central Coast,102,"250,000 to 999,999",10,Major Urban,332.9065,
102003,Gold Coast - Tweed Heads (Tweed Heads Part),102,"250,000 to 999,999",10,Major Urban,68.0195,102003,Gold Coast - Tweed Heads (Tweed Heads Part),102,"250,000 to 999,999",10,Major Urban,67.678,
102004,Newcastle,102,"250,000 to 999,999",10,Major Urban,295.8352,102004,Newcastle,102,"250,000 to 999,999",10,Major Urban,296.9898,
102005,Wollongong,102,"250,000 to 999,999",10,Major Urban,237.0025,102005,Wollongong,102,"250,000 to 999,999",10,Major Urban,224.4836,
111001,Albury - Wodonga (Albury Part),111,"50,000 to 99,999",11,Other Urban,64.0705,111001,Albury - Wodonga (Albury Part),111,"50,000 to 99,999",11,Other Urban,74.9112,
112006,Coffs Harbour,112,"20,000 to 49,999",11,Other Urban,77.9672,111002,Coffs Harbour,111,"50,000 to 99,999",11,Other Urban,77.9672,
111002,Maitland (NSW),111,"50,000 to 99,999",11,Other Urban,145.4357,111003,Maitland (NSW),111,"50,000 to 99,999",11,Other Urban,122.9001,
112001,Armidale,112,"20,000 to 49,999",11,Other Urban,31.0074,112001,Armidale,112,"20,000 to 49,999",11,Other Urban,30.2163,
112002,Bathurst,112,"20,000 to 49,999",11,Other Urban,53.1174,112002,Bathurst,112,"20,000 to 49,999",11,Other Urban,54.5543,
112003,Blue Mountains,112,"20,000 to 49,999",11,Other Urban,79.1763,112003,Blue Mountains,112,"20,000 to 49,999",11,Other Urban,79.1763,
112004,Bowral - Mittagong,112,"20,000 to 49,999",11,Other Urban,59.7576,112004,Bowral - Mittagong,112,"20,000 to 49,999",11,Other Urban,55.9023,
112005,Cessnock,112,"20,000 to 49,999",11,Other Urban,27.1885,112005,Cessnock,112,"20,000 to 49,999",11,Other Urban,21.7753,
112007,Dubbo,112,"20,000 to 49,999",11,Other Urban,85.7615,112006,Dubbo,112,"20,000 to 49,999",11,Other Urban,85.7616,
113004,Echuca - Moama (Moama Part),113,"10,000 to 19,999",11,Other Urban,27.8526,112007,Echuca - Moama (Moama Part),112,"20,000 to 49,999",11,Other Urban,28.019,
113005,Forster - Tuncurry,113,"10,000 to 19,999",11,Other Urban,32.6648,112008,Forster - Tuncurry,112,"20,000 to 49,999",11,Other Urban,32.6648,
112008,Goulburn,112,"20,000 to 49,999",11,Other Urban,55.5759,112009,Goulburn,112,"20,000 to 49,999",11,Other Urban,55.5759,
113007,Griffith,113,"10,000 to 19,999",11,Other Urban,46.0664,112010,Griffith,112,"20,000 to 49,999",11,Other Urban,47.93,
122014,Beelbangera (L),122,200 to 499,12,Bounded Locality,1.2032,112010,Griffith,112,"20,000 to 49,999",11,Other Urban,47.93,Amalgamated
113010,Kurri Kurri,113,"10,000 to 19,999",11,Other Urban,25.5547,112011,Kurri Kurri,112,"20,000 to 49,999",11,Other Urban,26.1116,
112009,Lismore,112,"20,000 to 49,999",11,Other Urban,40.251,112012,Lismore (NSW),112,"20,000 to 49,999",11,Other Urban,40.251,Name Change
112010,Mildura - Buronga (Buronga Part),112,"20,000 to 49,999",11,Other Urban,5.6456,112013,Mildura - Buronga (Buronga Part),112,"20,000 to 49,999",11,Other Urban,5.8912,
113012,Morisset - Cooranbong,113,"10,000 to 19,999",11,Other Urban,47.4696,112014,Morisset - Cooranbong,112,"20,000 to 49,999",11,Other Urban,43.7484,
112011,Nowra - Bomaderry,112,"20,000 to 49,999",11,Other Urban,37.8103,112015,Nowra - Bomaderry,112,"20,000 to 49,999",11,Other Urban,37.9355,
112012,Orange,112,"20,000 to 49,999",11,Other Urban,63.8644,112016,Orange,112,"20,000 to 49,999",11,Other Urban,56.8283,
112013,Port Macquarie,112,"20,000 to 49,999",11,Other Urban,43.6488,112017,Port Macquarie,112,"20,000 to 49,999",11,Other Urban,43.8921,
112014,Tamworth,112,"20,000 to 49,999",11,Other Urban,38.2174,112018,Tamworth,112,"20,000 to 49,999",11,Other Urban,38.2173,
112015,Wagga Wagga,112,"20,000 to 49,999",11,Other Urban,71.5314,112019,Wagga Wagga,112,"20,000 to 49,999",11,Other Urban,71.5314,
113001,Ballina,113,"10,000 to 19,999",11,Other Urban,14.206,113001,Ballina,113,"10,000 to 19,999",11,Other Urban,15.6931,
113002,Batemans Bay,113,"10,000 to 19,999",11,Other Urban,22.3826,113002,Batemans Bay,113,"10,000 to 19,999",11,Other Urban,22.3825,
113003,Broken Hill,113,"10,000 to 19,999",11,Other Urban,25.7209,113003,Broken Hill,113,"10,000 to 19,999",11,Other Urban,25.7209,
114003,Byron Bay,114,"5,000 to 9,999",11,Other Urban,21.8577,113004,Byron Bay,113,"10,000 to 19,999",11,Other Urban,21.8576,
113006,Grafton,113,"10,000 to 19,999",11,Other Urban,42.1678,113005,Grafton,113,"10,000 to 19,999",11,Other Urban,42.1678,
113008,Kempsey,113,"10,000 to 19,999",11,Other Urban,55.8197,113006,Kempsey,113,"10,000 to 19,999",11,Other Urban,47.0402,
113009,Kiama,113,"10,000 to 19,999",11,Other Urban,12.873,113007,Kiama,113,"10,000 to 19,999",11,Other Urban,13.0378,
113011,Lithgow,113,"10,000 to 19,999",11,Other Urban,24.1517,113008,Lithgow,113,"10,000 to 19,999",11,Other Urban,24.1517,
114018,Medowie,114,"5,000 to 9,999",11,Other Urban,13.1531,113009,Medowie,113,"10,000 to 19,999",11,Other Urban,14.4774,
113013,Mudgee,113,"10,000 to 19,999",11,Other Urban,27.5999,113010,Mudgee,113,"10,000 to 19,999",11,Other Urban,23.7291,
113014,Muswellbrook,113,"10,000 to 19,999",11,Other Urban,11.8912,113011,Muswellbrook,113,"10,000 to 19,999",11,Other Urban,13.2246,
113015,Nelson Bay,113,"10,000 to 19,999",11,Other Urban,11.4693,113012,Nelson Bay,113,"10,000 to 19,999",11,Other Urban,11.4693,
113016,Raymond Terrace,113,"10,000 to 19,999",11,Other Urban,25.3202,113013,Raymond Terrace,113,"10,000 to 19,999",11,Other Urban,25.5358,
113017,Singleton,113,"10,000 to 19,999",11,Other Urban,15.9474,113014,Singleton,113,"10,000 to 19,999",11,Other Urban,17.2382,
113018,St Georges Basin - Sanctuary Point,113,"10,000 to 19,999",11,Other Urban,14.5494,113015,St Georges Basin - Sanctuary Point,113,"10,000 to 19,999",11,Other Urban,9.3471,
113019,Taree,113,"10,000 to 19,999",11,Other Urban,51.2549,113016,Taree,113,"10,000 to 19,999",11,Other Urban,37.8066,
113020,Ulladulla,113,"10,000 to 19,999",11,Other Urban,25.3203,113017,Ulladulla,113,"10,000 to 19,999",11,Other Urban,21.665,
